pt,keterangan,jalan
"Wira Wijaya Riani, PT", Produk Usaha : Pakaian Wanita Bisnis dengan produk,Jl.Raya Jakarta Bogor Km.45
"Joung Saudara Abadi Busana, PT", Produk Usaha : Pakaian Rajut Bisnis dengan produk,Bintang Mas Rt.01/02
Dianing Sari Sejahtera/Dns, Telepon :8752332 8753035  Produk Usaha : Pakaian Olahraga Bisnis dengan produk,"Jl. Raya Jakarta Bogor Km 41,2"
Uni Makmur Elektrika Pt, Telepon :021-8752191 021-8752689  Produk Usaha : Panel Listrik Bisnis dengan produk,Jl Kayu Manis No.10
"Tatto/Hole Mayer, PT"," Produk Usaha : Papan Reklame, Lampu Reklame Bisnis dengan produk",Jl Raya Jakarta - Bogor Km 47 Desa Nanggewer
"Mayer Crocodil Ii, PT", Produk Usaha : Jaket Pria Bisnis dengan produk,Jl.Raya Jakarta-bogor Km.39 Kel Pabuaran
"Mars Gain Madya, PT", Telepon :8752846  Produk Usaha : Jaket Pria Bisnis dengan produk,Jl.Mayoroking Desa Cibinong
"Inti Pancaran Api Kayu, PT", Produk Usaha : Jaket Pria Bisnis dengan produk,Jl.Mayor Oking No.62a Tlp.8754110 Kel Cirimekar
"Harapan Jaya, CV", Telepon :8752606 8753479  Produk Usaha : Jaket Pria Bisnis dengan produk,Jl. Raya Jakarta Bogor Km 46 No. 287
"Kaji Sangyo Indonesia, PT", Telepon :021-8753852 021-8753342  Produk Usaha : Jas Hujan Bisnis dengan produk,Jl.Bintang Mas No.23 Desa Nanggewer
Indra," Telepon :8752088  Produk Usaha : Jasa Makloon, Sweeter Bisnis dengan produk",Jl.Pasar Lama No.1
"Mayer Indah Indonesia, PT", Produk Usaha : Kain Brokat Bisnis dengan produk,Jl Raya Jakata Bogor Km 39 Kelpabuaran
"Megah Megalon Industries, PT", Telepon :021-8752742 021-8753365  Produk Usaha : Kain Non Woven Bisnis dengan produk,Jl. Raya Mayor Oking
"Flexible Foam, PT", Telepon :021-8752977  Produk Usaha : Karet Busa Bisnis dengan produk,Jl. Tapos Km 1 No. 11
"Tromatex/Tri Rose Mekar Textil Ind., PT", Produk Usaha : Kain Rajut Bisnis dengan produk,Jl Raya Jakarta-bogor Km 39 Telp 82074 Kel Pabuaran
Karet Busa Induk Kredatama, Telepon :021-8752912  Produk Usaha : Karet Busa Bisnis dengan produk,"Jl. Golf,Kp.Citatah Ds Ciriung"
"Rahayu Santosa, PT", Telepon :021-8752530  Produk Usaha : Karoseri Bus Bisnis dengan produk,Jl Raya Bogor Jakarta Km 48 Kel Nanggewer Mekar
"Bentonit Alam Indonesia (Bai), PT", Telepon :021-8752892 021-8764288  Produk Usaha : Tepung Batu Bisnis dengan produk,Jl Myr Oking Jayaatmaja Km 2/9
"Van Melle Indonesia, PT", Produk Usaha : Kembang Gula Bisnis dengan produk,"Jl.Raya Jkt Bogor Km,47"
"Hadinata Brothers & Co, PT", Produk Usaha : Kursi Bisnis dengan produk,Jl Tapos Km 1 Tlp.8752291-87522151 Kel Ciriung
"Poly Chame Asia Pasific, PT", Produk Usaha : Lem Bisnis dengan produk,Jl.Raya Jkt-bogor Kel Pabuaran
"Cahaya Priangan Utama, PT", Telepon :8752200 8752942  Produk Usaha : Majalah Bisnis dengan produk,"Jl Raya Jakarta-bogor Km 48,3 Ds Nangewer"
"Asalta Mandiri Agung, PT", Telepon :8751390 0251-652768  Produk Usaha : Metal Dressing Bisnis dengan produk,Jl. Raya Jakarta Bogor Km 49
"Taehan Textile, PT", Telepon :021-8753582 021-8755384  Produk Usaha : Mantel Pria Bisnis dengan produk,Jl Raya Jakarta Bogor Km 39
"Shakuntala Knitting Industry Ltd, PT", Produk Usaha : Gaun Bisnis dengan produk,Jl Raya Bogor Km44 Cibinong Tlp. 8752322 Ds Pakansari
Kaisar Laksmi Mas Garment, Telepon :8758870  Produk Usaha : Garment Bisnis dengan produk,"Mayor Oking No 112, Jl"
Idea Karya Indah (Iki), Telepon :8750978  Produk Usaha : Garmen Bisnis dengan produk,"Jl Raya Jakarta-bogor Km 41,2"
"Berjaya Asri Busana, PT", Telepon :87902123 87902124  Produk Usaha : Jaket Kain Bisnis dengan produk,"Jl Raya Jakarta Bogor Km 41,2"
"Cuppindo Kharisma, PT", Telepon :8756007  Produk Usaha : Gelas Kertas Bisnis dengan produk,"Jl Raya Bogor Km 41,2"
"Dinar Makmur, PT", Telepon :021-8753728  Produk Usaha : Box Styrofor Bisnis dengan produk,Jl Raya Bogor Km 49
"Duta Busana Danastri, PT", Telepon :021-8752126-7 021-8751032  Produk Usaha : Celana Bisnis dengan produk,Jl. H. Ashari Rt 01/01
"Great River Industries, PT", Produk Usaha : Celana Dalam Wanita Bisnis dengan produk,Jl Raya Bogor Km 47 Tl 8753737desa Naggewer
"Tjokro Bersaudara, CV", Telepon :021-8752835-90  Produk Usaha : Mur Baut Bisnis dengan produk,Jl Raya Bogor Cibinong Km.42
"Mitra Guna Sahabat Utama, PT", Telepon :021-8752193 021-8754680  Produk Usaha : Celana Pendek Bisnis dengan produk,"Jl. Raya Bogor Km. 41,2"
"Trinunggal Komara, PT", Telepon :8753702 8752595  Produk Usaha : Celana Panjang Pria Bisnis dengan produk,Jl Mayor Oking No 168
"Pasific Cemerlang, PT/Jaya Sakti", Produk Usaha : Pakaian Jadi Bisnis dengan produk,Jl. Mayor Oking 168
"Gemini Mas Mulia Indah, PT", Produk Usaha : Ordner Bisnis dengan produk,Jl Bintang Mas No 8 Ds Nangewer
"Buana Adna Jaya, PT", Produk Usaha : Pakaian Jadi Bisnis dengan produk,Jl.Raya Cikaret Rt.01/06 No.6
Daihan Texindo, Produk Usaha : Pakaian Jadi Bisnis dengan produk,Jl.Mayor Oking No.122 Cibinong
"Nugratama Daya Mitra, PT", Produk Usaha : Kerai Plastik Bisnis dengan produk,"Jl Raya Jakarta Bogor Km 47,5 Cibinong"
Duta Langgeng Berlian/Eliana, Produk Usaha : Sepatu Bisnis dengan produk,Jl. Dr Nurdin H Ashari 45
"Citra Yasa Sarana Perkasa, PT", Telepon :8755649 8755649  Produk Usaha : Sepatu Kulit Bisnis dengan produk,Jl Bintang Mas Nanggewer Mekar
"Jaly Indonesia Utama, PT", Telepon :021-8752173 021-8752174  Produk Usaha : Sepatu Kulit Bisnis dengan produk,Jl Hm Ashari No.47
"Kimia Farma Unit Produksi Bandung, PT"," Alamat : Kecamatan Cibinong,Kabupaten Cianjur,Provinsi Jawa Barat Produk Usaha : Tepung Kulit Kina Bisnis dengan produk",K/P Jl Pajajaran Po Box 12 Bandung
"Maxim'S Int Ltd, PT", Telepon :021-8752311 021-8752070  Produk Usaha : Roti Tawar Bisnis dengan produk,Jl Raya Bogor Km 39
"Singamip Jaya Enterprise Elect, PT", Telepon :021-8753848 021-8757005  Produk Usaha : Wire Harnesses Bisnis dengan produk,Jl Bintang Mas No.15 Km 47
"Makmurnusa Indah, PT", Telepon :8752605  Produk Usaha : Tas Pancing Bisnis dengan produk,Jl. Mayor Oking Jayaatmaja 196
Dua Sekawan, Telepon :8759959  Produk Usaha : Konveksi Bisnis dengan produk,Jl Kh. Asyhari No. 50
"Perkeb. Cigebang- Tapos, PT"," Alamat : Kecamatan Cibinong,Kabupaten Cianjur,Provinsi Jawa Barat Telepon :0263-363107  Produk Usaha : Rss Bisnis dengan produk",Ds Pananggapan
"Aneka Star, PT", Produk Usaha : Safety Deposit Boxes Bisnis dengan produk,Jl Mayor Oking Jaya Atmaja Kelcirimekar
Andi Sutrisno, Produk Usaha : Kantong Plastik Bisnis dengan produk,"Jl.Bintang Mas Km 47,5 Tlp.8753730"
"Capsugel Indonesia, PT", Telepon :021-8752226 021-8752227  Produk Usaha : Kapsul Kosong Bisnis dengan produk,"Jl Raya Bogor-jakarta Km 42,5"
"Busana Elok Selaras Tunggal, PT", Telepon :8790226  Produk Usaha : Jas Hujan Bisnis dengan produk,"Jl Raya Jakarta Bogor Km 41,2"
Hta Rubber, Telepon :8754852  Produk Usaha : Karet Compound Bisnis dengan produk,Jl Bintang Mas No.27
"Sin-lie, PT", Telepon :8752082  Produk Usaha : Saos Cabe Bisnis dengan produk,Jl Pasar Lama 2 Kel Cirimekar
